"name","party","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Q_7","Q_8","Q_9","Q_10","Q_11","Q_12","Q_13","Q_14","Q_15","Q_16","Q_17","Q_18","Q_19","Q_20","Q_21","Q_22","Q_23","Q_24","Q_25","Q_26","Q_27","Q_28","Q_29"
"Toomas Jürgenstein","SDE",3,4,3,3,3,3,3,3,2,3,3,3,3,4,2,3,NA,3,2,3,1,4,4,2,2,3,3,4,3
"Lea Danilson-Järg","Isamaa",2,2,2,3,NA,3,4,1,2,2,4,1,4,2,4,2,4,2,1,3,1,1,2,2,2,2,3,NA,3
"Vahur Koorits","SDE",2,4,1,3,1,2,3,2,3,3,1,NA,2,NA,1,3,NA,3,NA,4,1,2,4,2,4,2,4,4,4
"Riido Villup","Reformierakond",3,1,1,3,2,2,4,1,1,4,3,2,2,2,1,4,4,3,2,4,1,1,1,2,3,4,4,4,3
"Sirje Tobreluts","SDE",4,3,2,3,3,2,3,2,3,2,4,4,3,3,2,4,3,2,2,4,2,4,3,2,2,3,2,4,2
"Aivar Jaeski","SDE",2,3,3,3,3,1,4,1,2,3,4,3,3,2,3,3,NA,2,1,3,3,1,2,1,1,1,4,3,3
"Õnne Pillak","Reformierakond",2,1,1,3,2,2,4,2,1,4,4,3,4,3,4,3,3,1,1,4,2,1,3,2,3,3,3,4,3
"Siim Tuisk","SDE",3,4,2,2,3,3,2,2,2,4,2,4,3,4,1,4,4,4,2,4,1,4,3,2,2,1,1,4,2
"Maris Hellrand","SDE",2,3,3,3,2,3,3,3,1,4,NA,3,2,4,NA,4,NA,3,2,4,4,NA,1,NA,3,1,3,4,3
"Karin Paulus","SDE",2,4,3,1,NA,2,3,3,2,4,3,4,NA,4,1,4,4,4,2,3,1,4,3,1,1,2,4,4,2
"Vladislav Veližanin","SDE",3,4,2,1,1,3,2,1,1,4,2,4,1,4,1,3,4,4,3,3,2,3,4,2,2,2,1,4,4
"Aleksandr Popov","SDE",4,3,4,4,3,3,3,2,3,3,3,4,1,4,1,3,3,4,1,4,4,4,4,3,3,3,4,4,3
"Priit Toobal","Keskerakond",4,4,4,1,4,3,2,2,3,2,2,3,4,NA,NA,3,2,2,1,4,NA,NA,3,1,1,4,4,3,3
"Aleksandr Tšaplõgin","Keskerakond",4,3,4,1,4,1,2,3,4,1,1,4,4,NA,4,NA,1,2,1,2,1,4,4,1,1,2,NA,1,1
"Ismail Mirzojev","Keskerakond",3,3,4,3,4,3,2,1,3,2,3,3,4,2,4,3,4,1,1,2,1,4,4,1,2,4,4,2,1
"Andre Hanimägi","Keskerakond",3,3,3,3,2,3,3,2,3,2,3,2,3,NA,3,3,NA,1,2,2,2,3,3,1,2,3,3,2,3
"Andrei Korobeinik","Keskerakond",3,3,3,2,4,2,2,1,2,3,3,3,1,3,1,3,3,3,2,3,1,4,3,3,3,3,2,2,2
"Raivo Uukkivi","Keskerakond",4,3,3,2,3,1,3,1,1,2,4,3,3,2,4,4,3,1,1,3,1,4,4,1,2,4,3,2,2
"Karmo Kuri","SDE",3,3,2,3,3,3,3,2,1,3,3,3,2,3,2,4,3,3,1,3,1,2,3,1,3,3,3,4,2
"Tõnis Mölder","Keskerakond",4,4,4,1,4,2,3,NA,1,2,NA,NA,4,1,4,NA,4,2,1,4,1,4,4,3,2,3,1,4,1
"Aili Ilves","SDE",3,3,4,2,1,4,3,3,2,3,3,2,4,2,NA,3,2,3,1,4,2,3,2,1,4,1,1,3,2
"Kati Nõlvak","SDE",2,4,4,2,3,3,3,1,3,3,3,NA,4,4,1,4,3,3,2,3,2,2,3,2,3,3,3,3,3
"Kajar Lember","SDE",3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2
"Marika Saar","SDE",3,4,3,1,3,3,2,3,1,4,4,4,1,4,1,4,4,4,2,4,1,4,3,1,2,3,3,4,3
"Kati Kuusk","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,2,2,1,4,4,4,4,4,4
"Rait Mattias Salvan","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Krista Vapper","Parempoolsed",2,1,1,3,2,3,3,2,2,3,3,3,2,3,1,4,4,3,1,4,4,2,1,3,2,3,3,3,3
"Aadi Tegova","Parempoolsed",2,1,1,3,1,3,2,1,2,3,2,1,2,3,2,3,NA,2,1,2,4,1,2,4,4,4,3,4,4
"Aili Avi","Parempoolsed",3,NA,2,2,3,2,3,2,1,3,NA,3,2,NA,NA,NA,NA,3,1,3,2,NA,2,4,3,NA,3,4,2
"Tarmo Linnamägi","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,2,3,3,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,3
"Väino Tõemets","Parempoolsed",2,1,1,3,1,3,3,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,2,2,2,4,3,4,4,4,4
"Esmar Naruski","Parempoolsed",2,1,2,3,3,3,4,2,1,3,4,2,4,2,3,3,1,1,1,2,4,1,1,2,3,3,3,3,2
"Gerda Kulli-Kordemets","SDE",3,2,3,1,1,1,3,2,2,3,4,3,3,4,1,4,3,4,2,4,2,1,2,2,3,3,3,3,4
"Indrek Luberg","Parempoolsed",2,1,1,3,1,4,1,1,2,4,3,1,2,4,2,4,NA,2,2,3,1,1,1,3,4,4,3,4,3
"Airi Liiva","Parempoolsed",2,1,3,3,2,3,2,2,2,3,3,1,3,NA,NA,3,NA,2,1,3,2,2,2,3,3,3,3,3,3
"Allan Muuk","Parempoolsed",2,1,1,3,1,2,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Kati Käpp","Parempoolsed",2,1,1,3,2,3,2,1,1,4,4,2,3,NA,NA,3,NA,2,1,3,3,2,1,3,4,3,3,3,3
"Anne Ensling","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,3,1,3,3,1,2,4,4,3,4,4,4
