"party";"candidate_nr";"candidate_name";"candidate_votes";"candidate_position";"party_votes_const";"prop_candidate_votes_party";"prop_candidate_votes_constituency";"constituency"
"Eesti Reformierakond";880;"URMAS KLAAS";8065;1;17627;0,457536733420321;0,164363740115758;10
"Eesti Reformierakond";881;"YOKO ALENDER";2051;2;17627;0,116355590854938;0,0417991358930464;10
"Eesti Reformierakond";882;"ANTS LAANEOTS";1869;3;17627;0,106030521359278;0,0380899975544143;10
"Eesti Reformierakond";885;"SIGNE KIVI";1286;6;17627;0,0729562602825211;0,0262085269422027;10
"Eesti Reformierakond";883;"MARGIT SUTROP";1102;4;17627;0,062517728484711;0,0224586288416076;10
"Eesti Reformierakond";884;"MIHKEL LEES";1038;5;17627;0,0588869348159074;0,0211543164587919;10
"Eesti Reformierakond";886;"RAIMOND TAMM";886;7;17627;0,050263799852499;0,0180565745496046;10
"Eesti Reformierakond";887;"HELE EVERAUS";712;8;17627;0,0403925795654394;0,0145104752588245;10
"Eesti Reformierakond";889;"RENO LAIDRE";443;10;17627;0,0251318999262495;0,00902828727480232;10
"Eesti Reformierakond";888;"ARMEN ŠAHBAZJAN";175;9;17627;0,00992795143813468;0,00356647917176164;10
"EESTIMAA ÜHENDATUD VASAKPARTEI";1056;"IGOR ROSENFELD";651;1;786;0,82824427480916;0,0132673025189533;10
"EESTIMAA ÜHENDATUD VASAKPARTEI";1057;"VIIVI-HELBE PELJUHHOVSKA";135;2;786;0,17175572519084;0,00275128393250183;10
"Erakond Eesti 200";755;"KRISTINA KALLAS";4288;1;9043;0,474178922923808;0,0873889296486508;10
"Erakond Eesti 200";756;"TANEL TEIN";1368;2;9043;0,151277231007409;0,0278796771826853;10
"Erakond Eesti 200";757;"GEA KANGILASKI";885;3;9043;0,097865752515758;0,0180361946686231;10
"Erakond Eesti 200";758;"ANNELI KANNUS";753;4;9043;0,0832688267167975;0,0153460503790658;10
"Erakond Eesti 200";760;"MART KIVASTIK";403;6;9043;0,0445648567953113;0,00821309203554251;10
"Erakond Eesti 200";759;"PÄRTEL PIIRIMÄE";381;5;9043;0,0421320358288179;0,00776473465394962;10
"Erakond Eesti 200";761;"KRISTIINA TÕNNISSON";312;7;9043;0,0345018246157249;0,00635852286622646;10
"Erakond Eesti 200";763;"PILLE TSOPP-PAGAN";235;9;9043;0,0259869512329979;0,00478927203065134;10
"Erakond Eesti 200";762;"VAHUR KOLLOM";233;8;9043;0,0257657856905894;0,00474851226868835;10
"Erakond Eesti 200";764;"KARL AARON ADSON";185;10;9043;0,0204578126727856;0,00377027798157659;10
"Erakond Eestimaa Rohelised";268;"MARKO KAASIK";272;1;821;0,331303288672351;0,00554332762696666;10
"Erakond Eestimaa Rohelised";269;"LAILA KAASIK";182;2;821;0,221680876979294;0,0037091383386321;10
"Erakond Eestimaa Rohelised";273;"ELIISA PASS";104;6;821;0,126674786845311;0,00211950762207549;10
"Erakond Eestimaa Rohelised";272;"RAUL KÜBARSEPP";79;5;821;0,0962241169305725;0,00161001059753811;10
"Erakond Eestimaa Rohelised";271;"MARTI SOOSAAR";77;4;821;0,0937880633373934;0,00156925083557512;10
"Erakond Eestimaa Rohelised";270;"KÄRT KALVET";66;3;821;0,0803897685749086;0,00134507214477867;10
"Erakond Eestimaa Rohelised";274;"ALAR AAB";41;7;821;0,0499390986601705;0,000835575120241298;10
"Erakond Parempoolsed";197;"ELMO SOMELAR";367;1;965;0,380310880829016;0,00747941632020869;10
"Erakond Parempoolsed";198;"KADRI KULLMAN";209;2;965;0,216580310880829;0,00425939512513247;10
"Erakond Parempoolsed";199;"ARNE MERILAI";114;3;965;0,118134715025907;0,00232330643189044;10
"Erakond Parempoolsed";200;"AADI TEGOVA";70;4;965;0,0725388601036269;0,00142659166870465;10
"Erakond Parempoolsed";202;"INDREK ADLER";58;6;965;0,0601036269430052;0,00118203309692671;10
"Erakond Parempoolsed";201;"HEDI TEIDEARU";41;5;965;0,0424870466321244;0,000835575120241298;10
"Erakond Parempoolsed";204;"ÜLO HEINSOO";36;8;965;0,0373056994818653;0,000733675715333822;10
"Erakond Parempoolsed";206;"TANEL UIBO";33;10;965;0,0341968911917098;0,000672536072389337;10
"Erakond Parempoolsed";205;"CARMEN MARIANNE TEÄR";22;9;965;0,0227979274611399;0,000448357381592891;10
"Erakond Parempoolsed";203;"JAAGUP AINSALU";15;7;965;0,0155440414507772;0,000305698214722426;10
"ISAMAA Erakond";380;"TÕNIS LUKAS";2218;1;4219;0,525716994548471;0,0452025760169561;10
"ISAMAA Erakond";381;"MIHHAIL LOTMAN";572;2;4219;0,135577150983645;0,0116572919214152;10
"ISAMAA Erakond";384;"MERLE JÄÄGER";312;5;4219;0,0739511732638066;0,00635852286622646;10
"ISAMAA Erakond";382;"KASPAR KOKK";263;3;4219;0,0623370466935293;0,0053599086981332;10
